date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:41:55	858/858	---M--	200	added ('OK')	image/gif	date:Tue,%2019%20Jan%202010%2019:11:46%20GMT	http://i.cdn.turner.com/cnn/.element/img/3.0/search/btn_search_hp_text.gif	C:/My%20Web%20Sites/cnn/i.cdn.turner.com/cnn/.element/img/3.0/search/btn_search_hp_text.gif	(from http://weather.edition.cnn.com/weather/intl/forecast.jsp?zipCode=94010&locCode=USCA0140)
09:41:56	68/68	---M--	200	added ('OK')	image/gif	date:Sat,%2030%20Jun%202007%2009:29:25%20GMT	http://i.cdn.turner.com/cnn/.element/img/2.0/mosaic/base_skins/baseplate/corner_dg_TL.gif	C:/My%20Web%20Sites/cnn/i.cdn.turner.com/cnn/.element/img/2.0/mosaic/base_skins/baseplate/corner_dg_TL.gif	(from http://weather.edition.cnn.com/weather/intl/forecast.jsp?zipCode=94010&locCode=USCA0140)
09:41:57	453/453	---M--	404	error ('Not%20found')	text/html	date:Mon,%2016%20Jun%202014%2000:41:56%20GMT	http://weather.edition.cnn.com/weather/intl/GET	C:/My%20Web%20Sites/cnn/weather.edition.cnn.com/weather/intl/GET.12.delayed	(from http://weather.edition.cnn.com/weather/intl/forecast.jsp?zipCode=94010&locCode=USCA0140)
09:41:57	93/93	---M--	200	added ('OK')	image/gif	date:Sat,%2030%20Jun%202007%2009:29:24%20GMT	http://i.cdn.turner.com/cnn/.element/img/2.0/mosaic/base_skins/baseplate/corner_wire_TL.gif	C:/My%20Web%20Sites/cnn/i.cdn.turner.com/cnn/.element/img/2.0/mosaic/base_skins/baseplate/corner_wire_TL.gif	(from http://weather.edition.cnn.com/weather/intl/forecast.jsp?zipCode=94010&locCode=USCA0140)
09:41:57	254/254	---M--	200	added ('OK')	image/gif	date:Sat,%2030%20Jun%202007%2009:29:59%20GMT	http://i.cdn.turner.com/cnn/.element/img/2.0/global/go_btn.gif	C:/My%20Web%20Sites/cnn/i.cdn.turner.com/cnn/.element/img/2.0/global/go_btn.gif	(from http://weather.edition.cnn.com/weather/intl/forecast.jsp?zipCode=94010&locCode=USCA0140)
09:41:58	68/68	---M--	200	added ('OK')	image/gif	date:Sat,%2030%20Jun%202007%2009:29:25%20GMT	http://i.cdn.turner.com/cnn/.element/img/2.0/mosaic/base_skins/baseplate/corner_dg_BL.gif	C:/My%20Web%20Sites/cnn/i.cdn.turner.com/cnn/.element/img/2.0/mosaic/base_skins/baseplate/corner_dg_BL.gif	(from http://weather.edition.cnn.com/weather/intl/forecast.jsp?zipCode=94010&locCode=USCA0140)
09:41:58	94/94	---M--	200	added ('OK')	image/gif	date:Sat,%2030%20Jun%202007%2009:29:23%20GMT	http://i.cdn.turner.com/cnn/.element/img/2.0/mosaic/base_skins/baseplate/corner_wire_BL.gif	C:/My%20Web%20Sites/cnn/i.cdn.turner.com/cnn/.element/img/2.0/mosaic/base_skins/baseplate/corner_wire_BL.gif	(from http://weather.edition.cnn.com/weather/intl/forecast.jsp?zipCode=94010&locCode=USCA0140)
09:41:58	4421/4421	---M--	200	added ('OK')	application/x-javascript	date:Sat,%2024%20Oct%202009%2014:30:46%20GMT	http://i.cdn.turner.com/cnn/.element/js/2.0/ad_head0.js	C:/My%20Web%20Sites/cnn/i.cdn.turner.com/cnn/.element/js/2.0/ad_head0.js	(from http://weather.edition.cnn.com/weather/intl/forecast.jsp?zipCode=94010&locCode=USCA0140)
09:41:58	19836/19836	---M--	200	added ('OK')	application/x-javascript	date:Thu,%2015%20Sep%202011%2018:12:56%20GMT	http://i.cdn.turner.com/cnn/cnn_adspaces/cnn_adspaces.js	C:/My%20Web%20Sites/cnn/i.cdn.turner.com/cnn/cnn_adspaces/cnn_adspaces.js	(from http://weather.edition.cnn.com/weather/intl/forecast.jsp?zipCode=94010&locCode=USCA0140)
09:42:00	67154/67154	---MC-	200	added ('OK')	text/html	date:Mon,%2016%20Jun%202014%2000:41:56%20GMT	http://weather.edition.cnn.com/weather/intl/forecast.jsp?locCode=	C:/My%20Web%20Sites/cnn/weather.edition.cnn.com/weather/intl/forecastc277.html	(from http://weather.edition.cnn.com/weather/intl/forecast.jsp?zipCode=94010&locCode=USCA0140)
09:42:01	969/969	---M--	200	added ('OK')	image/gif	date:Tue,%2003%20Jul%202007%2019:23:08%20GMT	http://i.cdn.turner.com/cnn/.element/img/2.0/weather/03/04.gif	C:/My%20Web%20Sites/cnn/i.cdn.turner.com/cnn/.element/img/2.0/weather/03/04.gif	(from http://weather.edition.cnn.com/weather/intl/forecast.jsp?zipCode=94010&locCode=USCA0140)
09:42:01	1467/1467	---M--	200	added ('OK')	image/gif	date:Tue,%2003%20Jul%202007%2019:23:13%20GMT	http://i.cdn.turner.com/cnn/.element/img/2.0/weather/04/04.gif	C:/My%20Web%20Sites/cnn/i.cdn.turner.com/cnn/.element/img/2.0/weather/04/04.gif	(from http://weather.edition.cnn.com/weather/intl/forecast.jsp?zipCode=94010&locCode=USCA0140)
09:42:01	972/972	---M--	200	added ('OK')	image/gif	date:Tue,%2003%20Jul%202007%2019:23:09%20GMT	http://i.cdn.turner.com/cnn/.element/img/2.0/weather/03/35.gif	C:/My%20Web%20Sites/cnn/i.cdn.turner.com/cnn/.element/img/2.0/weather/03/35.gif	(from http://weather.edition.cnn.com/weather/intl/forecast.jsp?zipCode=94010&locCode=USCA0140)
09:42:09	36544/36544	---MC-	200	added ('OK')	text/html	date:Mon,%2016%20Jun%202014%2000:41:58%20GMT	http://weather.edition.cnn.com/weather/intl/forecast.jsp?celcius=false&locCode=USCA0140&zipCode=94010	C:/My%20Web%20Sites/cnn/weather.edition.cnn.com/weather/intl/forecasteb0f.html	(from http://weather.edition.cnn.com/weather/intl/forecast.jsp?zipCode=94010&locCode=USCA0140)
09:42:09	43/43	---M--	200	added ('OK')	image/gif	date:Fri,%2020%20Apr%202007%2013:13:15%20GMT	http://i.cdn.turner.com/cnn/images/1.gif	C:/My%20Web%20Sites/cnn/i.cdn.turner.com/cnn/images/1.gif	(from http://weather.edition.cnn.com/weather/intl/forecast.jsp?zipCode=94010&locCode=USCA0140)
09:42:09	1343/1343	---M--	200	added ('OK')	image/gif	date:Tue,%2003%20Jul%202007%2019:23:08%20GMT	http://i.cdn.turner.com/cnn/.element/img/2.0/weather/03/01.gif	C:/My%20Web%20Sites/cnn/i.cdn.turner.com/cnn/.element/img/2.0/weather/03/01.gif	(from http://weather.edition.cnn.com/weather/intl/forecast.jsp?zipCode=94010&locCode=USCA0140)
09:42:09	49/49	---M--	200	added ('OK')	image/gif	date:Tue,%2003%20Jul%202007%2019:23:17%20GMT	http://i.cdn.turner.com/cnn/.element/img/2.0/weather/1x1pixel.gif	C:/My%20Web%20Sites/cnn/i.cdn.turner.com/cnn/.element/img/2.0/weather/1x1pixel.gif	(from http://weather.edition.cnn.com/weather/intl/forecast.jsp?zipCode=94010&locCode=USCA0140)
09:42:09	69/69	---M--	200	added ('OK')	image/gif	date:Sat,%2030%20Jun%202007%2009:29:23%20GMT	http://i.cdn.turner.com/cnn/.element/img/2.0/mosaic/base_skins/baseplate/corner_wire_BR.gif	C:/My%20Web%20Sites/cnn/i.cdn.turner.com/cnn/.element/img/2.0/mosaic/base_skins/baseplate/corner_wire_BR.gif	(from http://weather.edition.cnn.com/weather/intl/forecast.jsp?zipCode=94010&locCode=USCA0140)
09:42:10	1954/1954	---M--	200	added ('OK')	image/jpeg	date:Tue,%2003%20Jul%202007%2019:23:22%20GMT	http://i.cdn.turner.com/cnn/.element/img/2.0/weather/for_img.jpg	C:/My%20Web%20Sites/cnn/i.cdn.turner.com/cnn/.element/img/2.0/weather/for_img.jpg	(from http://weather.edition.cnn.com/weather/intl/forecast.jsp?zipCode=94010&locCode=USCA0140)
09:42:10	1861/1861	---M--	200	added ('OK')	image/jpeg	date:Tue,%2003%20Jul%202007%2019:23:39%20GMT	http://i.cdn.turner.com/cnn/.element/img/2.0/weather/tmp_img.jpg	C:/My%20Web%20Sites/cnn/i.cdn.turner.com/cnn/.element/img/2.0/weather/tmp_img.jpg	(from http://weather.edition.cnn.com/weather/intl/forecast.jsp?zipCode=94010&locCode=USCA0140)
09:42:10	1404/1404	---M--	200	added ('OK')	image/jpeg	date:Tue,%2003%20Jul%202007%2019:23:39%20GMT	http://i.cdn.turner.com/cnn/.element/img/2.0/weather/sat_img.jpg	C:/My%20Web%20Sites/cnn/i.cdn.turner.com/cnn/.element/img/2.0/weather/sat_img.jpg	(from http://weather.edition.cnn.com/weather/intl/forecast.jsp?zipCode=94010&locCode=USCA0140)
09:42:10	1812/1812	---M--	200	added ('OK')	image/jpeg	date:Tue,%2003%20Jul%202007%2019:23:39%20GMT	http://i.cdn.turner.com/cnn/.element/img/2.0/weather/rad_img.jpg	C:/My%20Web%20Sites/cnn/i.cdn.turner.com/cnn/.element/img/2.0/weather/rad_img.jpg	(from http://weather.edition.cnn.com/weather/intl/forecast.jsp?zipCode=94010&locCode=USCA0140)
09:42:11	95/95	---M--	200	added ('OK')	image/gif	date:Sat,%2030%20Jun%202007%2009:29:27%20GMT	http://i.cdn.turner.com/cnn/.element/img/2.0/mosaic/base_skins/right_rail/corner_tv_bl.gif	C:/My%20Web%20Sites/cnn/i.cdn.turner.com/cnn/.element/img/2.0/mosaic/base_skins/right_rail/corner_tv_bl.gif	(from http://weather.edition.cnn.com/weather/intl/forecast.jsp?zipCode=94010&locCode=USCA0140)
09:42:11	1784/1784	---M--	200	added ('OK')	image/gif	date:Thu,%2013%20Mar%202008%2017:27:28%20GMT	http://i.cdn.turner.com/cnn/.element/img/2.0/sect/ireport/ireport.gif	C:/My%20Web%20Sites/cnn/i.cdn.turner.com/cnn/.element/img/2.0/sect/ireport/ireport.gif	(from http://weather.edition.cnn.com/weather/intl/forecast.jsp?zipCode=94010&locCode=USCA0140)
09:42:11	93/93	---M--	200	added ('OK')	image/gif	date:Sat,%2030%20Jun%202007%2009:29:24%20GMT	http://i.l.cnn.net/cnn/.element/img/2.0/mosaic/base_skins/baseplate/corner_wire_TL.gif	C:/My%20Web%20Sites/cnn/i.l.cnn.net/cnn/.element/img/2.0/mosaic/base_skins/baseplate/corner_wire_TL.gif	(from http://weather.edition.cnn.com/weather/intl/forecast.jsp?zipCode=94010&locCode=USCA0140)
09:42:17	67154/67154	---MC-	200	added ('OK')	text/html	date:Mon,%2016%20Jun%202014%2000:42:12%20GMT	http://weather.edition.cnn.com/weather/intl/forecast.jsp?locCode=USNY0996&zipCode=10034	C:/My%20Web%20Sites/cnn/weather.edition.cnn.com/weather/intl/forecast205e.html	(from http://weather.edition.cnn.com/weather/intl/forecast.jsp?zipCode=94010&locCode=USCA0140)
09:42:21	66790/66790	---MC-	200	added ('OK')	text/html	date:Mon,%2016%20Jun%202014%2000:42:12%20GMT	http://weather.edition.cnn.com/weather/intl/forecast.jsp?locCode=CHXX0008&zipCode=346555366565	C:/My%20Web%20Sites/cnn/weather.edition.cnn.com/weather/intl/forecastc290.html	(from http://weather.edition.cnn.com/weather/intl/forecast.jsp?zipCode=94010&locCode=USCA0140)
09:42:23	66776/66776	---MC-	200	added ('OK')	text/html	date:Mon,%2016%20Jun%202014%2000:42:17%20GMT	http://weather.edition.cnn.com/weather/intl/forecast.jsp?locCode=ASXX0112&zipCode=330363038888	C:/My%20Web%20Sites/cnn/weather.edition.cnn.com/weather/intl/forecastfed0.html	(from http://weather.edition.cnn.com/weather/intl/forecast.jsp?zipCode=94010&locCode=USCA0140)
09:42:23	36551/36551	---MC-	200	added ('OK')	text/html	date:Mon,%2016%20Jun%202014%2000:42:13%20GMT	http://weather.edition.cnn.com/weather/intl/forecast.jsp?locCode=JAXX0085&zipCode=433705748864	C:/My%20Web%20Sites/cnn/weather.edition.cnn.com/weather/intl/forecast8227.html	(from http://weather.edition.cnn.com/weather/intl/forecast.jsp?zipCode=94010&locCode=USCA0140)
09:42:27	66790/66790	---MC-	200	added ('OK')	text/html	date:Mon,%2016%20Jun%202014%2000:42:21%20GMT	http://weather.edition.cnn.com/weather/intl/forecast.jsp?locCode=SFXX0023&zipCode=489283662474	C:/My%20Web%20Sites/cnn/weather.edition.cnn.com/weather/intl/forecastfd41.html	(from http://weather.edition.cnn.com/weather/intl/forecast.jsp?zipCode=94010&locCode=USCA0140)
09:42:30	66773/66773	---MC-	200	added ('OK')	text/html	date:Mon,%2016%20Jun%202014%2000:42:23%20GMT	http://weather.edition.cnn.com/weather/intl/forecast.jsp?locCode=CHXX0116&zipCode=524462438383	C:/My%20Web%20Sites/cnn/weather.edition.cnn.com/weather/intl/forecast41ec.html	(from http://weather.edition.cnn.com/weather/intl/forecast.jsp?zipCode=94010&locCode=USCA0140)
09:42:33	66804/66804	---MC-	200	added ('OK')	text/html	date:Mon,%2016%20Jun%202014%2000:42:24%20GMT	http://weather.edition.cnn.com/weather/intl/forecast.jsp?locCode=BRXX0201&zipCode=785362472333	C:/My%20Web%20Sites/cnn/weather.edition.cnn.com/weather/intl/forecast619e.html	(from http://weather.edition.cnn.com/weather/intl/forecast.jsp?zipCode=94010&locCode=USCA0140)
